Date,ProductName,Category,Quantity,UnitPrice,TotalPrice,PaymentType,Country,City,PostalCode,ShippingCost,OrderStatus,ReturnStatus,Rating,Feedback,ShippingDate,DeliveryDate,CustomerFullName,CustomerPhone,CustomerEmail,CustomerAddress,ProductDescription,SupplierName,SupplierContact,PurchasePrice,Profit,Discount,Tax,TaxAmount,FinalPrice,PaymentStatus,ShipmentTrackingNumber,Carrier,EstimatedDelivery,ActualDelivery,DeliveryStatus,ProductReturnDate,ReturnReason,RefundAmount,CustomerSupportContact,PromotionApplied,CouponCode,MembershipStatus,ReviewComment,ReviewDate,FollowUpAction
2021-01-01,JBSKMJNRSVIYG,Home & Kitchen,5,250.88,1254.4,PayPal,France,Paris,40804,34.42,Refunded,Returned,3,QAAGDWULPNWJNGDBXRPIEIYHXTPT,2021-01-05,2021-01-12,HBNPTJREPKSFGV,+14010230901,unorc@example.com,LCJFUQABSTZFJJRWHTGJYAVOJVC,,GAZBHXKMERSUC,WLNHIBUBXPTKTJHGA,205.26,228.1,0.02,0.07,87.81,1317.122,Failed,804964,UPS,2021-01-12,2021-01-12,On Time,,,,,,,,,,
2021-01-01,TFUBFCP,Books,8,250.88,2007.04,Bank Transfer,UK,New York,75206,34.42,Refunded,Not Returned,2,RDPDFCROHRXWCFVZUXOLEGVOGMYCZWMZCBWDQFKFVBQCLNBVV,2021-01-03,2021-01-12,RTWHUJQIMHQ,+13117763656,mcgsw@example.com,IMFSBLKMVCQIWOODNNNRC,,AVESIZXGLNPMRJ,,205.26,364.96,0.13,0.07,140.49,1886.6148,Processed,377767,USPS,2021-01-11,2021-01-12,Early,,,,,,,,,,
2021-01-02,BQILCKAWMOZE,Clothing,1,250.88,250.88,Bank Transfer,France,Toronto,20934,34.42,Completed,Not Returned,4,EJJUIUMJFKDZNQTBJCGGAHWAHNNBHSJGMVUOKZNKBBLOQNYP,2021-01-06,2021-01-09,PUHZJLRWIWYDEWPARR,+10446302347,xrqvi@example.com,HSBEXIKPTBGEYAUDIORJ,,UFVCDAKQE,XUBVMSAFHQC,205.26,45.62,0.02,0.07,17.56,263.4224,Pending,874536,DHL,2021-01-10,2021-01-09,Early,,,,,,,,,,
2021-01-02,QYWXYFUVK,Toys & Games,1,250.88,250.88,Bank Transfer,Canada,New York,40723,34.42,Completed,Returned,2,HXQELFRZEFIOJQZSLIONAQAWUVMHMPBMRCMSMSDSRYFSYD,2021-01-04,2021-01-10,YSIACZBBQFEUKIVYDGM,+17193143122,nvhne@example.com,KQZRLWMRVQJOTWXHUKRDSWVBTC,,WGDZPONB,ZSGOFYVWRJDERJJ,205.26,45.62,0.14,0.07,17.56,233.3168,,847385,UPS,2021-01-08,2021-01-09,Early,,,,,,,,,,
2021-01-04,DCMWIU,Electronics,9,250.88,2257.92,PayPal,France,Sydney,30405,34.42,Completed,Returned,3,XGGZWZPPEOWDXYMSGLZIQBP,2021-01-07,2021-01-09,QTBERMRKNLDGM,,xtnlv@example.com,QLSYJTMNPZXAXRC,,TXBEMWJVMNYRTW,GTNYHZIXEYUHTETRDKU,205.26,410.58,0.07,0.07,158.05,2257.9156,Failed,560121,DHL,2021-01-07,2021-01-08,Delayed,,,,,,,,,,
2021-01-05,ZLBCCLOIWH,Home & Kitchen,9,250.88,2257.92,Debit Card,Germany,New York,28748,34.42,Refunded,Returned,5,RGACUKVOYYCXMDWVHVDRGKDMII,2021-01-07,2021-01-09,KGYOSTQWALSY,,hapvh@example.com,NQXNUYHLNBFLDZDPTPXHCHXMGBE,,EUTYLPZTSYGY,TKNZMDPFWMWTESU,205.26,410.58,0,0.07,158.05,2415.97,Processed,208929,FedEx,2021-01-09,2021-01-08,Early,,,,,,,,,,
2021-01-06,YVDAXGBXEGDEXA,Electronics,4,250.88,1003.52,Bank Transfer,USA,London,80766,34.42,Pending,Not Returned,4,USCYYLKTKQZUNPXJDJZTLIOIGZXLTXNVPSWCKWUTSH,2021-01-08,2021-01-12,JZKPRIVINTFLWK,+11269281285,ecmec@example.com,EDQTAPKWKQDPLWEMMCIRROXUOGIP,,SJHPDJSP,ENDFEXBFBLVDMQFCMWC,205.26,182.48,0.24,0.07,70.25,832.9252,Processed,204612,UPS,2021-01-13,2021-01-12,Early,,,,,,,,,,
2021-01-08,OTSJR,Toys & Games,2,250.88,501.76,Debit Card,Germany,Berlin,56413,34.42,Refunded,Not Returned,4,HZCJMIFOPEUMSBFAOONGETYZPQKOTPCFUWMAUNB,2021-01-11,2021-01-16,DXFRFAYJLGXKTXA,+18431040556,,WWTMWDNINKTMQVED,,BKTWMCQJ,TIWDBEHBYEFGMIGDECQ,205.26,91.24,0.29,0.07,35.12,391.3696,Failed,228509,DHL,2021-01-15,2021-01-15,Early,,,,,,,,,,
2021-01-09,KOKQQFE,Home & Kitchen,9,250.88,2257.92,Credit Card,Australia,London,32354,34.42,Cancelled,Not Returned,4,ORIZCDOETTEJPYLYNVKSF,2021-01-10,2021-01-15,FJGLSJZBIAJAZ,+18527477263,wfnvd@example.com,MLCDQUROGINVVJJSXMCPKDCBO,,FNSXVAYKYYNM,MAEWIDJNJAWS,205.26,410.58,0.29,0.07,158.05,1761.1732,Processed,427139,FedEx,2021-01-14,2021-01-15,Early,,,,,,,,,,
2021-01-10,BPTXLFADQMRE,Toys & Games,4,250.88,1003.52,Debit Card,Germany,Sydney,84490,34.42,Completed,Returned,1,TCVOKVBYXFQRDWIJUZBKKKAZNAUWY,2021-01-12,2021-01-19,EQMFXJBESBV,,tsjwm@example.com,AAAZUJAPETRCHOCSBLURJJMLGZXPV,,FDXIGGMBBO,TYOVFGAETT,205.26,182.48,0.09,0.07,70.25,983.4532,Processed,985266,DHL,2021-01-19,2021-01-18,Early,,,,,,,,,,
